"kappa_model","criterion","direction","selected_K","value","labels_used"
"shared","AIC","min",10,-30606843.8706857,FALSE
"shared","BIC","min",10,-30485989.8807478,FALSE
"shared","RIC","min",9,-30346576.8602955,FALSE
"shared","RICc","min",8,-30280954.5472482,FALSE
"shared","EBIC_g0.5","min",8,-30338790.3381679,FALSE
"shared","EBIC_g1","min",8,-30217175.8988152,FALSE
"shared","ICL_BIC","min",10,-30485986.7805868,FALSE
"shared","bootstrap_OOB_NLL_min","min",10,-4913.59049960528,FALSE
"shared","bootstrap_OOB_NLL_1SE","smallest_within_1SE",10,-4912.94899704916,FALSE
"shared","bootstrap_pairwise_stability","max",3,0.995879693924948,FALSE
"free","AIC","min",10,-30640102.566842,FALSE
"free","BIC","min",10,-30519194.1926086,FALSE
"free","RIC","min",9,-30379292.8912928,FALSE
"free","RICc","min",7,-30310931.9815029,FALSE
"free","EBIC_g0.5","min",9,-30371337.0102441,FALSE
"free","EBIC_g1","min",7,-30255101.7471309,FALSE
"free","ICL_BIC","min",10,-30519187.727682,FALSE
"free","bootstrap_OOB_NLL_min","min",10,-4918.80195443652,FALSE
"free","bootstrap_OOB_NLL_1SE","smallest_within_1SE",10,-4918.18227363412,FALSE
"free","bootstrap_pairwise_stability","max",3,0.992413709873289,FALSE
